City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,nova sintra,14.8667,-24.7167,21.85,73,9,13.03,CV,1737576295
144,saint-joseph,-21.3667,55.6167,25.21,83,17,4.07,RE,1737576297
145,puerto boyaca,5.9758,-74.5885,32.18,52,2,1.33,CO,1737576298
146,chonchi,-42.6128,-73.8092,12.7,98,100,1.88,CL,1737576299
147,uttar char fasson,22.2332,90.7132,18.5,61,0,3.77,BD,1737576301
148,northam,51.0333,-4.2167,4.89,88,12,0.45,GB,1737576302
149,camalu,30.85,-116.0667,15.64,24,100,0.55,MX,1737576303
150,challapata,-18.9,-66.7667,15.3,49,100,0.86,BO,1737576306
151,guerrero negro,27.9769,-114.0611,19.08,20,100,2.2,MX,1737576307
152,uturoa,-16.7333,-151.4333,27.07,79,52,6.74,PF,1737576308
153,coari,-4.085,-63.1414,30.53,58,85,2.87,BR,1737576310
154,santana,-0.0583,-51.1817,31.1,70,20,2.06,BR,1737576311
155,ribeira grande,38.5167,-28.7,12.65,76,20,3.09,PT,1737576312
156,punta arenas,-53.15,-70.9167,16.06,77,75,5.14,CL,1737576313
157,shira,54.4911,89.9531,-11.44,60,53,13.5,RU,1737576315
158,lebu,-37.6167,-73.65,17.43,64,12,3.49,CL,1737576316
159,lycksele,64.5954,18.6735,-15.07,85,75,0.0,SE,1737576317
160,salalah,17.0151,54.0924,23.05,25,0,4.63,OM,1737576318
161,college,64.8569,-147.8028,-11.07,81,75,0.0,US,1737576319
162,keflavik,64.0049,-22.5624,2.24,75,20,14.92,IS,1737576321
163,laojunmiao,39.8333,97.7333,-3.25,37,57,2.25,CN,1737576077
164,itoman,26.1247,127.6694,19.01,59,88,5.14,JP,1737576038
165,benjamin constant,-4.3831,-70.0311,26.07,94,75,2.06,BR,1737576324
166,eydhafushi,5.1033,73.0708,27.31,73,67,2.74,MV,1737576325
167,flying fish cove,-10.4217,105.6791,24.82,100,100,2.57,CX,1737576327
168,porto novo,6.4965,2.6036,27.9,83,100,3.95,BJ,1737576034
169,vilyuchinsk,52.9306,158.4028,-13.85,86,21,4.28,RU,1737576329
170,kerikeri,-35.2268,173.9474,19.95,89,20,1.34,NZ,1737576330
171,ust-nera,64.5667,143.2,-31.64,100,98,2.26,RU,1737576331
172,el fasher,13.6279,25.3494,21.95,17,20,4.8,SD,1737576333
173,taksimo,56.3444,114.8794,-26.25,94,75,0.3,RU,1737576334
174,haiku-pauwela,20.9219,-156.3051,25.02,67,20,9.26,US,1737576335
175,broome,42.2506,-75.833,-8.15,41,0,2.06,US,1737576337
176,cill airne,52.05,-9.5167,4.34,93,13,2.02,IE,1737576338
177,sharanga,57.1775,46.5396,-11.18,82,100,5.89,RU,1737576339
178,pyapon,16.2833,95.6833,19.37,85,100,2.38,MM,1737576340
179,behshahr,36.6923,53.5526,6.03,66,0,2.26,IR,1737576341
180,tsiombe,-25.3,45.4833,25.05,83,61,3.93,MG,1737576342
181,cabo san lucas,22.8909,-109.9124,23.2,53,0,4.63,MX,1737576344
182,atafu village,-8.5421,-172.5159,27.96,77,23,7.42,TK,1737576345
183,san jose de jachal,-30.2406,-68.7469,32.88,17,0,6.44,AR,1737576346
184,tabou,4.423,-7.3528,27.25,81,0,4.58,CI,1737576347
185,gernika-lumo,43.3167,-2.6833,14.65,77,75,0.51,ES,1737576349
186,klyuchi,52.2667,79.1667,-16.03,94,100,4.95,RU,1737576350
187,lerwick,60.1545,-1.1494,5.55,80,94,1.52,GB,1737576351
188,quartu sant'elena,39.2419,9.1839,13.89,79,100,1.03,IT,1737576352
189,tolanaro,-25.0319,46.9987,26.04,78,40,5.14,MG,1737576353
190,kampong chhnang,12.1667,104.55,19.39,58,100,0.35,KH,1737576355
191,valledupar,10.4631,-73.2532,35.83,32,20,7.2,CO,1737576356
192,dinguiraye,11.3,-10.7167,27.66,15,56,0.95,GN,1737576357
193,luderitz,-26.6481,15.1594,17.64,89,13,2.88,NA,1737576358
194,choyr,46.3611,108.3611,-11.81,68,58,2.24,MN,1737576359
195,kahama,-3.8333,32.6,18.26,89,100,0.9,TZ,1737576361
196,bilibino,68.0546,166.4372,-31.63,98,100,0.83,RU,1737576362
197,hotan,37.0997,79.9269,-2.45,43,31,1.78,CN,1737576363
198,nadi,-17.8,177.4167,28.0,78,75,1.54,FJ,1737576364
199,mersing,2.4312,103.8405,25.95,89,20,2.57,MY,1737576365
200,alo,6.5486,4.2686,26.73,86,84,3.64,NG,1737576367
201,la mira,18.035,-102.3266,28.72,45,0,4.4,MX,1737576368
202,constantia,44.1833,28.65,3.38,70,73,4.3,RO,1737576369
203,touros,-5.1989,-35.4608,27.73,69,8,5.21,BR,1737576370
204,greymouth,-42.4667,171.2,17.11,78,19,1.12,NZ,1737576371
205,piossasco,44.9905,7.4637,6.74,86,100,0.25,IT,1737576373
206,peterhead,57.5058,-1.7981,4.47,78,14,0.73,GB,1737576374
207,mount gambier,-37.8333,140.7667,11.68,78,100,2.29,AU,1737576376
208,usinsk,65.9939,57.5281,-18.72,97,100,5.71,RU,1737576378
209,hithadhoo,-0.6,73.0833,27.17,79,100,4.62,MV,1737576379
210,toliara,-23.35,43.6667,26.09,78,35,1.97,MG,1737576380
211,budva,42.2864,18.84,7.2,100,100,1.03,ME,1737576381
